Province,value,lsis,,,
VTE,2.6,8.0,,,
PHO,3.1,7.3,,,
LNT,11.4,3.4,,,
ODX,7.9,7.0,,,
BK ,5.4,4.0,,,
LPB,2.4,8.9,,,
HPH,16.2,14.4,,,
XYB,8.3,16.0,,,
XK,0.0,7.0,,,
VTP,8.3,8.4,,,
BKX,5.3,7.6,,,
KHM,15.0,12.3,,,
SVK,9.4,13.1,,,
SLV,16.2,14.3,,,
SK,22.2,10.6,,,
CPS,20.0,9.1,,,
ATP,22.9,16.7,,,
XSB,2.7,9.6,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
