province,value,national
ATP,67.5,70.4
BK,87.5,70.4
BKX,90.0,70.4
CPS,50.0,70.4
HPH,100.0,70.4
KHM,100.0,70.4
LNT,77.5,70.4
LPB,52.5,70.4
ODX,35.0,70.4
PHO,67.5,70.4
SLV,85.0,70.4
SVK,100.0,70.4
XSB,22.5,70.4
VTP,37.5,70.4
VTE,55.0,70.4
XYB,97.5,70.4
SK,67.5,70.4
XK,75.0,70.4
