Province,rice,meat,fish
VTE,17.3,22.2,10.5
PHO,43,25.1,11.4
LNT,41.6,24.4,9.8
ODX,44,22.6,10.9
BK ,41.1,23.5,13.8
LPB,37.3,25.7,10.5
HPH,52.2,20.3,11.8
XYB,35.3,24.6,13.6
XK,40.2,26.6,11.5
VTP,32.3,24.6,14.5
BKX,36.8,20.6,15.4
KHM,34.6,22.7,19.2
SVK,33.1,22.3,18
SLV,37.3,19.3,20.3
SK,43.4,24.9,11
CPS,29.3,23,17.8
ATP,33.8,22.3,19.2
XSB,0,0,0
